ChEMBL_ID,name,SMILES,IC50_nM,IC50_units,pChEMBL,Assay_ID,target_chembl_id,target_name
CHEMBL170589,CHEMBL170589,COc1cccc(-c2cnc3cc(-c4ccccc4)ccn23)n1,242.0,nM,6.62,CHEMBL818934,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL170984,CHEMBL170984,COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCC1CCN(C)CC1,15600.0,nM,4.81,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL171125,CHEMBL171125,COc1cc2c(Nc3cccc4c3OCO4)ncnc2cc1OCCCN1CCOCC1,4960.0,nM,5.3,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL171188,CHEMBL171188,O=c1cc(-c2ccn3c(-c4ccccc4)cnc3c2)ccn1CCCO,120.0,nM,6.92,CHEMBL818934,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL171558,CHEMBL171558,COc1cc2c(Nc3cccc4occc34)ncnc2cc1OCCCN1CCOCC1,250.0,nM,6.6,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL171616,CHEMBL171616,c1ccc(-c2ccn3c(-c4cnsc4)cnc3c2)cc1,50.0,nM,7.3,CHEMBL818934,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL171736,CHEMBL171736,COCCN(C)CCCn1ccc(-c2ccn3c(-c4ccccc4)cnc3c2)cc1=O,96.0,nM,7.02,CHEMBL818934,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL171745,CHEMBL171745,COc1cc2c(Nc3cccc4ccoc34)ncnc2cc1OCCCN1CCOCC1,410.0,nM,6.39,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL172292,CHEMBL172292,c1ccc(-c2ccn3c(-c4cccnc4)cnc3c2)cc1,930.0,nM,6.03,CHEMBL818934,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL172450,CHEMBL172450,COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)c1,1180.0,nM,5.93,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL172518,CHEMBL172518,COc1cc2c(Nc3cccc4c(Cl)coc34)ncnc2cc1OCCCN1CCOCC1,100.0,nM,7.0,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL173550,CHEMBL173550,CC(=O)N1CCN(Cc2ccc(-c3ccn4c(-c5ccccc5)cnc4c3)cc2)CC1,77.0,nM,7.11,CHEMBL818934,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL173799,CHEMBL173799,COc1cc2c(Nc3c(Br)ccc4c3OCO4)ncnc2cc1OCCCN1CCOCC1,42640.0,nM,4.37,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL173856,CHEMBL173856,NC(=O)N1CCN(Cc2ccc(-c3ccn4c(-c5ccccc5)cnc4c3)cc2)CC1,69.0,nM,7.16,CHEMBL818934,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL1744347,CHEMBL1744347,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,20.0,nM,7.7,CHEMBL817494,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL1744349,CHEMBL1744349,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,40.0,nM,7.4,CHEMBL817494,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL175506,CHEMBL175506,COc1nc(Nc2ccc3ncsc3c2)nc(NC(C)(C)c2ccccc2)n1,6100.0,nM,5.21,CHEMBL831136,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL175760,CHEMBL175760,CC(C)(Nc1nc(Cl)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1,1080.0,nM,5.97,CHEMBL835238,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL175830,CHEMBL175830,CC(C)(Nc1nc(O)nc(Nc2ccc3[nH]cnc3c2)n1)c1ccccc1,240.0,nM,6.62,CHEMBL831136,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL175862,CHEMBL175862,CC(C)(Nc1nc(O)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1,35.0,nM,7.46,CHEMBL831136,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL175914,CHEMBL175914,CN(c1ccc2ncsc2c1)c1nc(O)nc(NC(C)(C)c2ccccc2)n1,1600.0,nM,5.8,CHEMBL831136,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL176019,CHEMBL176019,CC(C)N(Cc1ccccc1)c1nc(O)nc(Nc2ccc3ncsc3c2)n1,18.0,nM,7.75,CHEMBL831136,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL176078,CHEMBL176078,CCN(Cc1ccccc1)c1nc(O)nc(Nc2ccc3ncsc3c2)n1,49.0,nM,7.31,CHEMBL831136,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL176309,CHEMBL176309,Nc1ncnc2c1c(-c1cccc(Cl)c1)cn2-c1ccccc1,1000.0,nM,6.0,CHEMBL700241,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL176553,CHEMBL176553,COc1cc(Nc2ncc(-c3ccccc3)o2)cc(OC)c1,170.0,nM,6.77,CHEMBL829592,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL176702,CHEMBL176702,Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(CNCCO)c1,3600.0,nM,5.44,CHEMBL700241,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL176705,CHEMBL176705,COc1ccc(-c2cn(-c3ccccc3)c3ncnc(N)c23)cc1,200.0,nM,6.7,CHEMBL700241,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL177298,CHEMBL177298,CC(C)(Nc1nc(NO)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1,40.0,nM,7.4,CHEMBL831136,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL177434,CHEMBL177434,OCCCNc1cc(-c2cncc(Nc3cccc(Cl)c3)n2)ccn1,500.0,nM,6.3,CHEMBL829594,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL177688,CHEMBL177688,OCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,83.18,nM,7.08,CHEMBL831656,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178174,CHEMBL178174,Cc1ccc(Nc2ncnn3cc(NC(=O)OCCCn4nccn4)c(C(C)C)c23)cc1O,7.0,nM,8.15,CHEMBL830878,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178248,CHEMBL178248,CCc1ccc(Nc2ncnn3cc(C(=O)OC)c(C)c23)cc1O,55.0,nM,7.26,CHEMBL830878,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178455,CHEMBL178455,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC,0.9,nM,9.05,CHEMBL829563,CHEMBL279,Vascular endothelial growth factor receptor 2
