ChEMBL_ID,name,SMILES,IC50_nM,IC50_units,pChEMBL,Assay_ID,target_chembl_id,target_name
CHEMBL179082,CHEMBL179082,COc1cc2nccc(Oc3ccc(NC(=O)Nc4c(Cl)cccc4Cl)cc3)c2cc1OC,37.0,nM,7.43,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179165,CHEMBL179165,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c2cc1OC,0.2,nM,9.7,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179227,CHEMBL179227,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccccc4F)cc3)c2cc1OC,0.5,nM,9.3,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179307,CHEMBL179307,COc1cc2nccc(Oc3ccc(NC(=O)Nc4c(F)cccc4F)cc3)c2cc1OC,1.8,nM,8.74,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179311,CHEMBL179311,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(OC)c3)o2)c1,360.0,nM,6.44,CHEMBL829592,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179360,CHEMBL179360,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc([N+](=O)[O-])c4)cc3)c2cc1OC,1.1,nM,8.96,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL1794060,CHEMBL1794060,COc1ccc(Nc2ncc(-c3ccccc3)o2)cc1OC.Cl,140.0,nM,6.85,CHEMBL829592,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL1794061,CHEMBL1794061,Cl.N#Cc1cccc(Nc2ncc(-c3ccccc3)o2)c1,930.0,nM,6.03,CHEMBL829592,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL1794062,CHEMBL1794062,COc1ccccc1Nc1ncc(-c2ccccc2)o1.Cl,380.0,nM,6.42,CHEMBL829592,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179422,CHEMBL179422,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(Cl)cc4Cl)cc3)c2cc1OC,5.6,nM,8.25,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179450,CHEMBL179450,COc1cc2nccc(Oc3ccc(NC(NC#N)Nc4ccc(F)cc4)cc3)c2cc1OC,55.0,nM,7.26,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179453,CHEMBL179453,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3ccccc3Cl)o2)c1,360.0,nM,6.44,CHEMBL829592,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179465,CHEMBL179465,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(F)c3)o2)c1,93.0,nM,7.03,CHEMBL829592,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179517,CHEMBL179517,Cc1ccc(Nc2ncnn3cc(C(=O)NCCCN4CCCC4)c(C(C)C)c23)cc1O,18.0,nM,7.75,CHEMBL830878,CHEMBL279,Vascular endothelial growth factor receptor 2
